"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Govt. Degree College","Hemwati Nandan Bahuguna Garhwal University, Srinagar","Agrora (Dharmandal), Dist. Tehri – 249 131","","Uttarakhand","2(f) and 12(B)","2001","Bachelor's","Government","Aided"
"Govt. Degree College","Kakatiya University, Warangal","Bellampally – 504 251, Adilabad District","","Telangana","2(f) and 12(B)","1987","Bachelor's","Government","Aided"
"Govt. Degree College","Sri Venkateswara University, Tirupati","Karvetinagar – 517 582, Chittoor Dist.","Chittoor","Andhra Pradesh","2(f) and 12(B)","1995","Bachelor's","Government","Aided"
"Govt. Degree College","Jammu University, Jammu Tawi","Bishnah, Jammu – 181 132","Jammu","Jammu and Kashmir","2(f) and 12(B)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Kakatiya University, Warangal","Nelakondapally – 507 160, Khammam District","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Palamuru University, Mahabubnagar","Amrabad, Mahabubnagar (Dist.)","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Palamuru University, Mahabubnagar","Kodangal, Mahabubnagar (Dist.)","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Kumaun University, Nainital","Kapkote, Dist. Bageshwar – 263 642","","Uttarakhand","2(f)","2005","Bachelor's","Government","Aided"
"Govt. Degree College","Satavahana University,  Karimnagar","Choppadandi – 505 415, Dist. Karimnagar","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Sumbal, Sonawari,   Bandipora – 193 501","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2010","Bachelor's","Government","Aided"
"Govt. Degree College","Palamuru University, Mahabubnagar","Kollapur, Dist. Mahabubnagar","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Hemwati Nandan Bahuguna Garhwal University, Srinagar","Chandrabadani, Tehri Garhwal","","Uttarakhand","2(f) and 12(B)","2001","Bachelor's","Government","Aided"
"Govt. Degree College","Mahatma Gandhi University, Nalgonda","Nakrekal, Dist. Nalgonda – 500 803","","Telangana","2(f)","2009","Bachelor's","Government","Aided"
"Govt. Degree College","Kakatiya University, Warangal","Post & Mandal : Cherial, Dist. Warangal – 506 223","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Palamuru University, Mahabubnagar","Kalwakurthy (PO) – 509 324, Mahabubnagar (Dt.)","","Telangana","2(f)","2008","Bachelor's","Government","Aided"
"Govt. Degree College","Sri Krishnadevaraya University, Anantapur","Banaganapalle, Kurnool Dist. –     518 124","Kurnool","Andhra Pradesh","2(f) and 12(B)","1993","Bachelor's","Government","Aided"
"Govt. Degree College","Kashmir University, Srinagar","Kulgam, Kashmir","Kashmir","Jammu and Kashmir","2(f) and 12(B)","2004","Bachelor's","Government","Aided"
"Govt. Degree College","Rani Durgavati Vishwavidyalaya, Jabalpur","Naiupir Dist. Nandha","","Madhya Pradesh","2(f) and 12(B)","1998","Bachelor's","Government",""
"Govt. Degree College","Krishna University, Machllipatanam","Avantigadda, District Krishna - 521 121","Krishna","Andhra Pradesh","2(f) and 12(B)","1977","Bachelor's","Government",""
"Govt. Degree College","Krishna University, Machllipatanam","Tiruvuru, District Krishna - 521 235","Krishna","Andhra Pradesh","2(f) and 12(B)","1978","Bachelor's","Government",""
"Govt. Degree College","Acharya Nagarjuna University, Nagarjuna Nagar","Venukonda, District Guntur - 522 647","Guntur","Andhra Pradesh","2(f) and 12(B)","1980","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Chodavaram, District Visakhapatnam - 531 036","Visakhapatnam","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Baruva, District Srikakulam - 532 264","District Srikakulam","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Tuni, District East Godavari - 533 401","East Godavari","Andhra Pradesh","2(f) and 12(B)","1980","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Narasannapeta, District Srikakulam 532 421","Srikakulam","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Ichapuram, District Srikakulam - 532 312","Srikakulam","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Paderu, District Visakhapatnam - 531 024","Visakhapatnam","Andhra Pradesh","2(f) and 12(B)","1985","Bachelor's","Non Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Srungavarapukota, District Vizianagaram - 35 145","Vizianagaram","Andhra Pradesh","2(f) and 12(B)","1984","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Amadalavalasa, District Srikakulam - 532 185","Srikakulam","Andhra Pradesh","2(f) and 12(B)","1984","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Revulapalem, District East Godavari - 533 238","East Godavari","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Saluru, District Vizianagaram - 532 591","Vizianagaram","Andhra Pradesh","2(f) and 12(B)","1982","Bachelor's","Government",""
"Govt. Degree College","Andhra University, Visakhapatnam","Rampachodavaram, District East Godavari - 533 288","East Godavari","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","Banda Balai","","Madhya Pradesh","2(f) and 12(B)","1982","Bachelor's","Government",""
"Govt. Degree College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","Powai, Dist. Panna","","Madhya Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","Prithvipur, Dist. Tikamgarh","","Madhya Pradesh","2(f)","1987","Bachelor's","Government",""
"Govt. Degree College","Dr. Harisingh Gour Vishwavidyalaya, Sagar","Rehli, Dist. Sagar","","Madhya Pradesh","2(f) and 12(B)","1983","Bachelor's","Government","Aided"
