Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
C-Edge College,"Nagaland University, Kohima","P.O. Box – 250, Naga United Village (4th Mile), B.P.O. Showuba, Dimapur – 797 112",,Nagaland,2(f) and 12(B),2012.0,Bachelor's,Non Government,Unaided,colleges,P.O. Box – 250,Naga United Village (4th Mile),,,,0.6000000000000001,,False,True
C-Impact Institute,"Dr. B.R. Ambedkar University, Agra","20 K.M. Stone, Behind Gokulam Water Park, NH-2, Agra-7",,Uttar Pradesh,2(f) and 12(B),2000.0,Bachelor's,Non Government,,colleges,20 K.M. Stone,Behind Gokulam Water Park,,,,0.6000000000000001,,False,True
C. & S.H. Desai Arts College and L.K.L. Doshi Commerce College,"Gujarat University, Ahmedabad","Balasinor, Dist. Kaira - 988 255",,Gujarat,2(f) and 12(B),1969.0,Bachelor's,Non Government,,colleges,Balasinor,Dist. Kaira,,,,0.6000000000000001,,False,True
C. Abdul Hakeem College,"University of Madras, Chennai","Melvisharam, District Vellore - 632 509",,Tamil Nadu,2(f) and 12(B),1965.0,Master's,Non Government,,colleges,Melvisharam,District Vellore,,,,0.6000000000000001,,False,True
C. Abdul Hakeem College of Engineering & Technology,"Anna University, Chennai","Hakeem Nagar, Melvisharam – 632 509, Vellore Dist.",,Tamil Nadu,2(f) and 12(B),1997.0,Bachelor's,Non Government,Unaided,colleges,Hakeem Nagar,Melvisharam – 632 509,,,,0.6000000000000001,,False,True
C. Achuta Menon Government College,"Calicut University, Kozhikode","Trichur, District Trichur - 680 001",,Kerala,2(f) and 12(B),1972.0,Bachelor's,Government,,colleges,Trichur,District Trichur,,,,0.6000000000000001,,False,True
C. Bhimasena Rao National College of Law,"Kuvempu University, Shankaraghatta","Balraj Urs Road, Shivamogga – 577 201",,Karnataka,2(f) and 12(B),1966.0,Bachelor's,Non Government,Aided,colleges,Balraj Urs Road,Shivamogga – 577 201,,,,0.6000000000000001,,False,True
C. Kandaswami Naidu College for Women,"University of Madras, Chennai","Cuddalore, District Cuddalore Arcot - 607 001",,Tamil Nadu,2(f) and 12(B),1967.0,Master's,Non Government,,colleges,Cuddalore,District Cuddalore Arcot,,,,0.6000000000000001,,False,True
C. M. Dubey Post Graduate College,"Guru Ghasidas Vishwavidyalaya, Bilaspur","Bilaspur, Dist. Bilaspur",,Chhattisgarh,2(f) and 12(B),1974.0,Master's,Non Government,,colleges,Bilaspur,Dist. Bilaspur,,,,0.6000000000000001,,False,True
C.B. Gupta Agriculture Degree College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Bakshi Ka Talab,  Lucknow-227 202",,Uttar Pradesh,2(f),1995.0,Bachelor's,Non Government,,colleges,Bakshi Ka Talab,Lucknow,,,,0.6000000000000001,,False,True
C.B. Khedgi's Basaveshwar Science Rajavijay Sinh Commerce and Raja Jaysinh Arts College,"Solapur University, Solapur","Akalkot, Dist. Solapur -413 216",,Maharashtra,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Akalkot,Dist. Solapur,,,,0.6000000000000001,,False,True
C.B. Patel Arts College,"Gujarat University, Ahmedabad","Nadiad, Dist. Kaira",,Gujarat,2(f) and 12(B),1947.0,Master's,Non Government,,colleges,Nadiad,Dist. Kaira,,,,0.6000000000000001,,False,True
C.B.M. College,"Bharathiar University, Coimbatore","Kovaipudur, District Coimpatore",,Tamil Nadu,2(f) and 12(B),1974.0,Master's,Non Government,,colleges,Kovaipudur,District Coimpatore,,,,0.6000000000000001,,False,True
C.C. Sheth College of Commerce,"Gujarat University, Ahmedabad","Ahmedabad,",,Gujarat,2(f) and 12(B),1969.0,Bachelor's,Non Government,,colleges,Ahmedabad,,,,,0.2,,False,True
C.C.R.D. College,"Choudhary Charan Singh University, Meerut","Muzaffarnagar, District Muzaffarnagar",,Uttar Pradesh,2(f) and 12(B),1959.0,Master's,Non Government,,colleges,Muzaffarnagar,District Muzaffarnagar,,,,0.6000000000000001,,False,True
C.D. Girls Degree College,"Lucknow University, Lucknow","Govind Vihar, Chinhat, Tiraha Chinhat, Lucknow – 226 028",Lucknow,Uttar Pradesh,2(f) and 12(B),2013.0,Bachelor's,Non Government,Unaided,colleges,Govind Vihar,Chinhat,,,,0.6000000000000001,Lucknow,False,True
C.D. Jain College of Commerce,"Savitribai Phule Pune University, Pune","Shrirampur -4, Dist. Ahmadnagar",,Maharashtra,2(f) and 12(B),1962.0,Master's,Non Government,,colleges,Shrirampur,4,,,,0.6000000000000001,,False,True
C.E. Society's Bhagirathibai Purupetre Arts Sitabai Mangilal Agarwal Science & Kasturibai Khander Chaudhary Commerce College,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Chalisgaon - 425 101, District Jalgaon",,Maharashtra,2(f) and 12(B),1961.0,Master's,Non Government,,colleges,Chalisgaon,425 101,,,,0.6000000000000001,,False,True
C.E.D.  College of Education,"Kashmir University, Srinagar","Narabal, Gulmarg Road",Kashmir,Jammu and Kashmir,2(f),2002.0,Bachelor's,Non Government,,colleges,Narabal,Gulmarg Road,,,,0.6000000000000001,Kashmir,False,True
C.G. Belled Govt. First Grade College,"Karnataka University, Dharwad","Akki, Alur",,Karnataka,2(f) and 12(B),1991.0,Bachelor's,Government,,colleges,Akki,Alur,,,,0.6000000000000001,,False,True
"C.H. Mohammed Koya Memorial, Government Arts and Science College","Calicut University, Kozhikode","Koduvally, Dist. Kozhikode – 673 572, Kerala",,Kerala,2(f),2013.0,Bachelor's,Government,Aided,colleges,Koduvally,Dist. Kozhikode – 673 572,,,,0.6000000000000001,,False,True
C.I. College,"Manipur University, Imphal","Bishenpur, District Bishenpur",,Manipur,2(f) and 12(B),1965.0,Bachelor's,Government,,colleges,Bishenpur,District Bishenpur,,,,0.6000000000000001,,False,True
C.J. Patel Arts & Commerce College,"Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Tirora, District Bhandara",,Maharashtra,2(f) and 12(B),1966.0,Bachelor's,Non Government,,colleges,Tirora,District Bhandara,,,,0.6000000000000001,,False,True
C.K.G.M. Government College,"Calicut University, Kozhikode","Perambra, Perambra (PO), (Via) Perambra, Kozhikode (District)-673 525",,Kerala,2(f) and 12(B),1975.0,Bachelor's,Government,,colleges,Perambra,Perambra (PO),,,,0.6000000000000001,,False,True
C.L. Baid Mehta College of Pharmacy,"Tamilnadu Dr. M.G.R. Medical University, Chennai","Jyothi Nagar, Thorapakkam, District Chennai - 600 096",,Tamil Nadu,2(f),1994.0,Bachelor's,Non Government,,colleges,Jyothi Nagar,Thorapakkam,,,,0.6000000000000001,,False,True
C.L. Jain College,"Dr. B.R. Ambedkar University, Agra","Ferozabad, District Ferozabad - 283 203",,Uttar Pradesh,2(f) and 12(B),1959.0,Master's,Non Government,,colleges,Ferozabad,District Ferozabad,,,,0.6000000000000001,,False,True
C.M. Bhola College,"Lalit Narayan Mithila University, Darbhanga","Deorh, Ghoghardiha, District Madhubani",Madhubani,Bihar,2(f),1975.0,Bachelor's,Government,,colleges,Deorh,Ghoghardiha,,,,0.6000000000000001,Madhubani,False,True
C.M. College,"Lalit Narayan Mithila University, Darbhanga","Darbhanga, District Darbhanga",Darbhanga,Bihar,2(f) and 12(B),1974.0,Master's,Government,,colleges,Darbhanga,District Darbhanga,,,,0.6000000000000001,Darbhanga,False,True
C.M. College of Science,"Lalit Narayan Mithila University, Darbhanga","Darbhanga, District Darbhanga",Darbhanga,Bihar,2(f) and 12(B),1974.0,Master's,Government,,colleges,Darbhanga,District Darbhanga,,,,0.6000000000000001,Darbhanga,False,True
C.M.H. College of Legal Studies,"Jammu University, Jammu Tawi","Chowadi Top Sainik Colony, Jammu",Jammu,Jammu and Kashmir,2(f),2007.0,Bachelor's,Non Government,,colleges,Chowadi Top Sainik Colony,Jammu,,,,0.6000000000000001,Jammu,False,True
C.M.J. College,"Lalit Narayan Mithila University, Darbhanga","Donbarihat, Khutauna, District Madhubani",Madhubani,Bihar,2(f) and 12(B),1977.0,Bachelor's,Government,,colleges,Donbarihat,Khutauna,,,,0.6000000000000001,Madhubani,False,True
C.M.K. National Girls College,"Chaudhary Devi Lal University, Sirsa.","Sirsa, Dist. Sirsa",,Haryana,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Sirsa,Dist. Sirsa,,,,0.6000000000000001,,False,True
C.M.P. Degree College,"University of Allahabad, Allahabad","Allahabad, District Allahabad",,Uttar Pradesh,2(f) and 12(B),1950.0,Bachelor's,Constituent,,colleges,Allahabad,District Allahabad,,,,0.6000000000000001,,False,True
C.M.R. Institute of Management Studies,"Bangalore University, Bangalore",Bangalore-560 043,Bangalore,Karnataka,2(f),1996.0,Master's,Non Government,,colleges,Bangalore,560 043,,,,0.6000000000000001,Bangalore,False,True
C.M.S. Academy of Management and Technology,"Bharathiar University, Coimbatore","Chinnavedampatti, Coimbatore – 641 006",Coimbatore,Tamil Nadu,2(f),2009.0,Master's,Non Government,,colleges,Chinnavedampatti,Coimbatore – 641 006,,,,0.6000000000000001,Coimbatore,False,True
C.M.S. College,"Mahatma Gandhi University, Kottayam","Kottayam, Dist. Kottayam -  686 001",,Kerala,2(f) and 12(B),1892.0,Master's,Non Government,,colleges,Kottayam,Dist. Kottayam,,,,0.6000000000000001,,False,True
C.M.S. College of Engineering & Technology,"Anna University, Chennai","Appachigoundenpathy, Kumittipathi Post, Othakkalmandapam (Via), Coimbatore – 641 032",Coimbatore,Tamil Nadu,2(f),2009.0,Bachelor's,Non Government,,colleges,Appachigoundenpathy,Kumittipathi Post,,,,0.6000000000000001,Coimbatore,False,True
C.M.S. College of Science & Commerce,"Bharathiar University, Coimbatore","Chinnavedampatti, District Coimbatore",Coimbatore,Tamil Nadu,2(f) and 12(B),1988.0,Master's,Non Government,,colleges,Chinnavedampatti,District Coimbatore,,,,0.6000000000000001,Coimbatore,False,True
C.N. Arts and B.D. Commerce college,"Hemchandracharya North Gujarat University, Patan","Kadi, Dist. Mehesana - 382 715",,Gujarat,2(f) and 12(B),1963.0,Bachelor's,Non Government,,colleges,Kadi,Dist. Mehesana,,,,0.6000000000000001,,False,True
C.N. College,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur","Shahebganj, District Muzaffarpur",Muzaffarpur,Bihar,2(f) and 12(B),1971.0,Bachelor's,Government,,colleges,Shahebganj,District Muzaffarpur,,,,0.6000000000000001,Muzaffarpur,False,True
C.N.B. College,"T.M.Bhagalpur University, Bhagalpur","Hathiwan, Shekhpura, Dist. Shekhpura",Sheikhpura,Bihar,2(f) and 12(B),1984.0,Bachelor's,Non Government,,colleges,Hathiwan,Shekhpura,,,,0.6000000000000001,Sheikhpura,False,True
C.P. & Berar Education Society's Arts & Commerce College,"Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Nagpur, District Nagpur",,Maharashtra,2(f) and 12(B),1960.0,Master's,Non Government,,colleges,Nagpur,District Nagpur,,,,0.6000000000000001,,False,True
C.P. Mahila Mahaviyalaya,"Rani Durgavati Vishwavidyalaya, Jabalpur","Weight Town, Jabalpur, Dist. Jabalpur",,Madhya Pradesh,2(f) and 12(B),1951.0,Master's,Non Government,,colleges,Weight Town,Jabalpur,,,,0.6000000000000001,,False,True
C.P. Patel & F.H. Shah Commerce College,"Sardar Patel University, Vallabh Vidyanagar","Anand, Dist. Anand - 388 001",,Gujarat,2(f) and 12(B),1971.0,Bachelor's,Government,,colleges,Anand,Dist. Anand,,,,0.6000000000000001,,False,True
"C.P. Ramaswami Aiyar Institute of Indological Research,","University of Madras, Chennai","The C.P. Ramaswami Aiyar Foundation, 1 Eldams Road, Alwarpet, Chennai- 600 018, Tamil Nadu",Chennai,Tamil Nadu,2(f),2005.0,Master's,Non Government,Unaided,colleges,The C.P. Ramaswami Aiyar Foundation,1 Eldams Road,,,,0.6000000000000001,Chennai,False,True
C.R Reddy Degree College,"Yogi Vemana University, Kadapa","49/4F-3 YSR Street Bose Nagar, Rayachoty, Dist. Kadapa-516 269,",,Andhra Pradesh,2(f),2005.0,Bachelor's,Non Government,Unaided,colleges,49/4F,3 YSR Street Bose Nagar,,,,0.6000000000000001,,False,True
C.R. Arya College,"Maharishi Dayanand  University, Rohtak","Sonepat, Dist. Sonipat",,Haryana,2(f) and 12(B),1951.0,Bachelor's,Non Government,,colleges,Sonepat,Dist. Sonipat,,,,0.6000000000000001,,False,True
C.R. Kisan College,"Chaudhary Devi Lal University, Sirsa.","Jind, Dist. Jind",,Haryana,2(f) and 12(B),1972.0,Bachelor's,Non Government,,colleges,Jind,Dist. Jind,,,,0.6000000000000001,,False,True
C.S. Jain College of Education,"Tamil Nadu Teacher Education University, Chennai","Srimushnam – 608 703, Cuddalore District",,Tamil Nadu,2(f),2005.0,Master's,Non Government,Unaided,colleges,Srimushnam – 608 703,Cuddalore District,,,,0.6000000000000001,,False,True
C.S. Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Harchandpur Khurd, Etah – 207 001",,Uttar Pradesh,2(f) and 12(B),2005.0,Bachelor's,Non Government,,colleges,Harchandpur Khurd,Etah – 207 001,,,,0.6000000000000001,,False,True
C.S. Memorial Degree College,"Dr. B.R. Ambedkar University, Agra","Bas Badam, Baharampur, Etmadpur, Agra – 283 202",,Uttar Pradesh,2(f) and 12(B),2009.0,Bachelor's,Non Government,Unaided,colleges,Bas Badam,Baharampur,,,,0.6000000000000001,,False,True
C.S.I. College of Nursing Dr. Somervell Memorial C.S.I. Medical College & Hospital,"Kerala University, Thiruvananthapuram",Karakonam P.O. Thiruvananthapuram Dist. – 695 504,,Kerala,2(f),2002.0,Master's,Non Government,Aided,colleges,Karakonam P.O. Thiruvananthapuram Dist. – 695 504,,,,,0.2,,False,True
C.S.R. Sarma College,"Acharya Nagarjuna University, Nagarjuna Nagar","Ongole, District Prakasam",Prakasam,Andhra Pradesh,2(f) and 12(B),1952.0,Bachelor's,Non Government,,colleges,Ongole,District Prakasam,,,,0.6000000000000001,Prakasam,False,True
C.S.S.R. & S.R.R.M. Degree & P.G. College,"Yogi Vemana University, Kadapa","Kamalapuram – 516 289, Y.S.R. District",Y.S.R.,Andhra Pradesh,2(f) and 12(B),1992.0,Master's,Non Government,Unaided,colleges,Kamalapuram – 516 289,Y.S.R. District,,,,0.6000000000000001,Y.S.R.,False,True
C.S.T.E Society's S.S.N.  Arts & Commerce College,"Rani Channamma University, Vidyasangama","Hukeri - 591 309, District Belagavi",Belgaum,Karnataka,2(f) and 12(B),1982.0,Bachelor's,Non Government,,colleges,Hukeri,591 309,,,,0.6000000000000001,Belgaum,False,True
C.S.T.S. Governemnt Kalasala,"Adikavi Nannaya University, Rajahmundry","Jangareddigudem – 534 447, W.G. Dist",West Godavari,Andhra Pradesh,2(f) and 12(B),1974.0,Master's,Government,Aided,colleges,Jangareddigudem – 534 447,W.G. Dist,,,,0.6000000000000001,West Godavari,False,True
C.U. Shah Arts College,"Gujarat University, Ahmedabad","Lal Darwaja, Ahmedabad - 380 001",,Gujarat,2(f) and 12(B),1960.0,Master's,Non Government,,colleges,Lal Darwaja,Ahmedabad,,,,0.6000000000000001,,False,True
C.U. Shah City Commerce College,"Gujarat University, Ahmedabad","Lal Darvaja, Ahmedabad - 380 001",,Gujarat,2(f) and 12(B),1961.0,Master's,Non Government,,colleges,Lal Darvaja,Ahmedabad,,,,0.6000000000000001,,False,True
C.U. Shah Commerce College,"Gujarat University, Ahmedabad","Ashram Road, Ahmedabad - 380 014",,Gujarat,2(f) and 12(B),1965.0,Master's,Non Government,,colleges,Ashram Road,Ahmedabad,,,,0.6000000000000001,,False,True
C.U. Shah Science College,"Gujarat University, Ahmedabad","Ashram Road, Ahmedabad",,Gujarat,2(f) and 12(B),1965.0,Master's,Non Government,,colleges,Ashram Road,Ahmedabad,,,,0.6000000000000001,,False,True
C.V. Raman College of Engineering,"Biju Patnaik University of Technology, Rourkela","Pridyanagar Jala, Bhubneshwar",,Odisha,2(f),1997.0,Bachelor's,Non Government,,colleges,Pridyanagar Jala,Bhubneshwar,,,,0.6000000000000001,,False,True
C.Z. Patel College of Business and Management,"Sardar Patel University, Vallabh Vidyanagar","New Vallabh Vidyanagar – 388 121, Dist. Anand",,Gujarat,2(f) and 12(B),2003.0,Bachelor's,Non Government,Unaided,colleges,New Vallabh Vidyanagar – 388 121,Dist. Anand,,,,0.6000000000000001,,False,True
Cachar College,"Assam University, Silchar","Silchar, District Cachar - 788 001",Cachar,Assam,2(f) and 12(B),1960.0,Bachelor's,Non Government,,colleges,Silchar,District Cachar,,,,0.6000000000000001,Cachar,False,True
Calcutta Girls B.T. College,"Calcutta University, Kolkata","6/1, Swinhoe Street, Calcutta - 19, District Calcutta",,West Bengal,2(f) and 12(B),1965.0,Bachelor's,Non Government,,colleges,6/1,Swinhoe Street,,,,0.6000000000000001,,False,True
Calcutta Girls College,"Calcutta University, Kolkata","169 - Dharmatala Street, Calcutta - 700 013, District Calcutta",,West Bengal,2(f) and 12(B),1964.0,Bachelor's,Non Government,,colleges,169,Dharmatala Street,,,,0.6000000000000001,,False,True
Calcutta Institute of Technology,"Maulana Abul Kalam Azad University of Technology,  Kolkata","Uluberia, Howrah – 711 316",,West Bengal,2(f),2004.0,Master's,Non Government,Unaided,colleges,Uluberia,Howrah – 711 316,,,,0.6000000000000001,,False,True
Calcutta National Medical College,"Calcutta University, Kolkata","32 - Gorachanda Road, Calcutta - 14, District Calcutta",,West Bengal,2(f) and 12(B),1948.0,Bachelor's,Government,,colleges,32,Gorachanda Road,,,,0.6000000000000001,,False,True
Cambridge Institute of Technology,"Visvesvaraya Technological University, Belgaum","K.R. Puram, Bengaluru – 560 036",,Karnataka,2(f),2007.0,Master's,Non Government,Unaided,colleges,K.R. Puram,Bengaluru – 560 036,,,,0.6000000000000001,,False,True
Cambridge Institute of Technology,"Ranchi University,  Ranchi",Ranchi – 835 103,,Jharkhand,2(f),2001.0,Bachelor's,Non Government,Unaided,colleges,Ranchi – 835 103,,,,,0.2,,False,True
"Camp Education Society Dr. Arvind B.Telang Sr. College of Arts, Science and Commerce","Savitribai Phule Pune University, Pune","Sector No. 27/A, Nigdi, Pradhikaran, Pune",Pune,Maharashtra,2(f) and 12(B),1998.0,Master's,Non Government,,colleges,Sector No. 27/A,Nigdi,,,,0.6000000000000001,Pune,False,True
Canara College,"Mangalore University, Mangalagangothri","M.G. Road, Mangalore, Dist. Dakshin Kannad - 575 003",,Karnataka,2(f) and 12(B),1973.0,Bachelor's,Non Government,,colleges,M.G. Road,Mangalore,,,,0.6000000000000001,,False,True
CANARA Engineering College,"Visvesvaraya Technological University, Belagavi","Jodumarga P.O.,  Benjanapadavu-574 219,Bantwal Taluk,  Dakshina Kannada",,Karnataka,2(f),2001.0,Bachelor's,Non Government,Unaided,colleges,Jodumarga P.O.,Benjanapadavu,,,,0.6000000000000001,,False,True
Cancer Chikitsalya(Jan Vikas Nyas) Nursing Mahavidyalaya,"Jiwaji University, Gwalior",Dist. Gwalior,,Madhya Pradesh,2(f) and 12(B),1992.0,Bachelor's,Non Government,,colleges,Dist. Gwalior,,,,,0.2,,False,True
Cancer Research Institute,"Mumbai University, Mumbai",Bombay - 400 012,,Maharashtra,2(f) and 12(B),1952.0,Master's,Government,,colleges,Bombay,400 012,,,,0.6000000000000001,,False,True
Cane Growers Nehru Degree (PG) College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Gola Gokaran Nath, District Kheri",,Uttar Pradesh,2(f) and 12(B),1968.0,Master's,Non Government,,colleges,Gola Gokaran Nath,District Kheri,,,,0.6000000000000001,,False,True
Cane Societies Nehru Degree (PG) College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Hardoi, District Hardoi",,Uttar Pradesh,2(f) and 12(B),1965.0,Master's,Non Government,,colleges,Hardoi,District Hardoi,,,,0.6000000000000001,,False,True
Capital College of Higher Education,"Nagaland University, Kohima","P.R. Hill – Kohima, P.O. Box No. 316, Nagaland – 797 001",,Nagaland,2(f) and 12(B),2004.0,Bachelor's,Non Government,Aided,colleges,P.R. Hill – Kohima,P.O. Box No. 316,,,,0.6000000000000001,,False,True
Capt. Ram Singh Degree College,"Dr. B.R. Ambedkar University, Agra","Nagla, Ramkunwari, Firozabad – 283 203",,Uttar Pradesh,2(f) and 12(B),2006.0,Bachelor's,Non Government,Unaided,colleges,Nagla,Ramkunwari,,,,0.6000000000000001,,False,True
Captain Sukhwasi Singh Smarak Janta Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Ghatampur, Kanpur Nagar",,Uttar Pradesh,2(f) and 12(B),1995.0,Bachelor's,Non Government,Unaided,colleges,Ghatampur,Kanpur Nagar,,,,0.6000000000000001,,False,True
Captain Vishal Singh Degree College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Etawah Road, Bharthana, Etawah – 206 242",,Uttar Pradesh,2(f) and 12(B),2011.0,Bachelor's,Non Government,Unaided,colleges,Etawah Road,Bharthana,,,,0.6000000000000001,,False,True
Cardamom Planter's Association College,"Madurai Kamaraj University, Madurai","Bodinayakanur, District Theni - 626 513",,Tamil Nadu,2(f) and 12(B),1974.0,Master's,Non Government,,colleges,Bodinayakanur,District Theni,,,,0.6000000000000001,,False,True
CARE Group of Institutions,"Anna University, Chennai","No. 27, Thayanoor Village, Kuttapatti,  Srirangam Taluk, Tiruchirappalli – 620 009",Tiruchirappalli,Tamil Nadu,2(f),2006.0,Master's,Non Government,Unaided,colleges,No. 27,Thayanoor Village,,,,0.6000000000000001,Tiruchirappalli,False,True
Career College,"Barkatullah University, Bhopal","Bhopal, Dist. Bhopal",Bhopal,Madhya Pradesh,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Bhopal,Dist. Bhopal,,,,0.6000000000000001,Bhopal,False,True
Career Convent Girls Degree College,"Lucknow University, Lucknow","Vikas Nagar, Lucknow – 226 022",Lucknow,Uttar Pradesh,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,Vikas Nagar,Lucknow – 226 022,,,,0.6000000000000001,Lucknow,False,True
Carmel College,"Calicut University, Kozhikode","Mala, District Trichur - 680 732",,Kerala,2(f) and 12(B),1981.0,Bachelor's,Non Government,,colleges,Mala,District Trichur,,,,0.6000000000000001,,False,True
Carmel College,"Mangalore University, Mangalagangothri","Modankap, District Bantwal – 574 219",,Karnataka,2(f),2010.0,Bachelor's,Non Government,Unaided,colleges,Modankap,District Bantwal – 574 219,,,,0.6000000000000001,,False,True
"Carmel College of Arts, Science & Commerce for Women","Goa University, Goa","Nuvem, Margao, Dist. South Goa - 403 604",,Goa,2(f) and 12(B),1964.0,Master's,Non Government,,colleges,Nuvem,Margao,,,,0.6000000000000001,,False,True
